Y,X1,X2,X3
182487582,662,327,843
68126400,415,171,960
350024220,838,442,945
445841608,856,701,743
1544420,106,235,62
24195234,761,757,42
24093563,839,611,47
32842065,435,733,103
131213160,530,414,598
209304,459,76,6
236331222,677,438,797
100122096,706,456,311
209761500,347,750,806
296597136,892,363,916
28572960,76,482,780
69217200,435,680,234
30022592,424,668,106
17445055,71,785,313
313689480,422,953,780
70356780,321,390,562
177550000,848,625,335
180105504,358,892,564
69176384,524,446,296
132254408,572,599,386
108331663,473,517,443
10074240,848,495,24
2355990,863,182,15
95595600,870,670,164
366453396,783,516,907
544711500,750,771,942
63123840,234,480,562
78087800,280,289,965
9217800,569,216,75
266463600,400,899,741
434644,14,722,43
48581148,116,777,539
537420,53,78,130
233462684,338,721,958
135603424,496,731,374
54574740,774,641,110
18972408,438,221,196
40239240,310,174,746
19841990,470,259,163
167106990,482,435,797
73291968,444,228,724
107406624,267,967,416
135359912,557,821,296
11018856,113,204,478
141398064,573,388,636
67653072,474,939,152
62964000,450,528,265
465153500,875,694,766
11608353,603,23,837
170020620,705,406,594
262358041,863,953,319
31580340,110,354,811
30881384,629,136,361
301083420,618,946,515
5304912,111,464,103
23449800,25,969,968
300680352,696,973,444
567644,44,133,97
450000,500,25,36
23295400,50,538,866
253497276,531,801,596
316911348,653,663,732
63985236,188,399,853
27187524,559,579,84
9417654,137,603,114
3017300,715,211,20
112812408,222,799,636
414036630,711,826,705
165408750,522,625,507
403695270,997,495,818
200979540,492,565,723
62739927,967,729,89
10261824,696,388,38
47539500,100,615,773
31901760,760,212,198
22731360,230,213,464
28008000,180,778,200
251704544,676,488,763
63006560,148,734,580
177543510,681,310,841
90690180,218,849,490
29961503,227,169,781
167176212,703,447,532
127111292,203,749,836
199706760,376,957,555
60633272,212,659,434
11871846,42,551,513
92917470,311,433,690
12873744,552,69,338
296939979,651,859,531
13015821,343,39,973
2246720,8,826,340
13156000,100,572,230
8205825,355,67,345
252020223,663,787,483
549892200,715,780,986
189455136,996,236,806
135733455,801,715,237
124448940,876,861,165
2073000,691,5,600
24800244,399,82,758
146241096,662,492,449
9008020,370,47,518
150398496,376,492,813
497744950,815,785,778
283709668,986,319,902
469919072,644,788,926
330924975,937,831,425
343722588,913,458,822
115777860,789,460,319
178881768,507,964,366
100082196,171,969,604
82752515,569,493,295
130138740,426,510,599
262868460,733,556,645
51656742,531,254,383
243823710,793,555,554
52571596,649,263,308
4370938,11,527,754
133351680,704,231,820
316008000,450,912,770
441699232,779,754,752
442891760,911,824,590
5527200,376,30,490
73456572,161,591,772
505081788,779,852,761
6020825,23,283,925
30861704,389,422,188
20132544,388,276,188
1785600,496,45,80
84092312,164,571,898
231326550,390,807,735
378554715,597,671,945
262181880,837,382,820
289899095,449,695,929
1870695,405,149,31
3797600,47,202,400
271750059,567,873,549
1074060,102,27,390
70535520,671,720,146
23464182,59,557,714
143895550,334,907,475
130170726,378,461,747
848640,80,78,136
1222776,612,9,222
115069890,570,293,689
58855680,468,393,320
102417942,737,318,437
13759564,734,182,103
119275200,275,864,502
2063514,787,437,6
31316504,878,74,482
28334439,657,101,427
82840320,480,188,918
386100,78,18,275
45547920,486,142,660
225359888,442,782,652
126777060,194,822,795
24672411,711,269,129
180282200,983,700,262
181452657,727,813,307
31466240,806,305,128
45212860,242,785,238
14011968,76,334,552
9133752,862,883,12
61875730,641,490,197
37040640,70,636,832
55094632,211,508,514
70236524,751,412,227
540956864,973,952,584
227026800,637,528,675
232949064,942,586,422
12280398,534,377,61
127032420,372,419,815
120356280,495,792,307
152141490,657,249,930
312786384,368,911,933
1027824,24,322,133
7358400,175,96,438
30771084,331,366,254
268132650,521,730,705
1524880,196,10,778
725813010,871,846,985
820471433,929,989,893
136098105,165,947,871
610910400,929,822,800
237068,47,13,388
529156516,956,749,739
416254632,503,984,841
18198400,352,55,940
34722845,955,353,103
719334,14,297,173
716579072,908,836,944
132735162,439,966,313
1880736,286,137,48
23966000,460,100,521
477031599,537,891,997
19178397,423,889,51
111071340,570,691,282
221617539,689,891,361
301686930,981,603,510
142424850,310,843,545
78231664,758,679,152
708483440,994,865,824
34201959,93,737,499
452736900,495,973,940
180776178,657,363,758
290766060,907,822,390
9578650,425,118,191
42124160,166,793,320
124439905,853,179,815
13038636,494,249,106
454116000,568,975,820
23736,344,69,1
150522064,812,766,242
105280188,611,173,996
60006080,368,310,526
51992512,253,988,208
199504800,363,687,800
7222490,517,110,127
1035072,599,108,16
139560300,925,594,254
129934992,388,946,354
136864752,496,893,309
19531468,61,766,418
38717952,182,256,831
82915140,685,262,462
7575468,786,158,61
27832272,292,141,676
4414212,314,426,33
1012220,535,4,473
65967616,272,424,572
285790005,635,711,633
4622100,355,105,124
210056976,783,414,648
434304,64,78,87
163034580,412,555,713
498837996,974,769,666
155493296,542,376,763
115046460,621,295,628
81279240,483,280,601
24747392,487,64,794
286951896,396,994,729
105613452,476,831,267
331204770,951,570,611
26512860,578,165,278
417500688,723,748,772
134213625,345,855,455
28615356,444,341,189
37204704,918,272,149
165828276,513,844,383
16188000,75,304,710
137226960,936,181,810
160713189,291,637,867
18331920,345,246,216
28265016,584,51,949
5640750,207,218,125
4656288,364,533,24
255195280,596,790,542
219262260,410,714,749
571675048,677,952,887
113065346,503,673,334
194685120,406,864,555
81402120,141,680,849
12430560,551,120,188
5372640,780,56,123
71044592,398,421,424
208892992,506,608,679
53690058,977,774,71
122295986,626,347,563
25506264,492,161,322
400113120,830,498,968
90805104,874,296,351
104706910,842,209,595
16071031,859,53,353
13830831,173,423,189
