Y,X1,X2,X3
77190880,272,370,767
303807000,805,408,925
30721350,473,866,75
15805416,548,627,46
116734464,352,882,376
149673420,927,621,260
623492,692,17,53
17903856,593,51,592
380154580,755,842,598
135429732,972,503,277
533715,299,119,15
38775946,187,398,521
58245000,353,625,264
77912380,962,89,910
72425760,352,473,435
2902725,485,399,15
74365200,908,525,156
251622056,428,857,686
70709028,559,996,127
128057020,923,991,140
53495720,535,431,232
49914216,627,744,107
5213952,31,192,876
2106000,50,130,324
11585511,343,417,81
32148018,98,369,889
227027464,428,787,674
44718704,289,304,509
9183087,157,873,67
18329850,529,495,70
54946080,161,711,480
654930,342,383,5
12754700,475,49,548
160620300,909,465,380
130475090,437,365,818
81629010,785,981,106
192447450,491,585,670
69271860,707,460,213
233893440,920,642,396
3551220,180,181,109
129402000,312,525,790
8468755,205,379,109
323990325,505,795,807
601328648,796,971,778
98406396,902,418,261
32976600,244,425,318
136327680,480,776,366
213216648,524,929,438
154080000,800,963,200
69177537,779,143,621
108872556,673,884,183
5647563,243,127,183
56257404,349,202,798
84333600,795,195,544
48445392,106,822,556
17815700,155,140,821
157208688,648,301,806
17980963,23,923,847
641280,668,4,240
330718320,522,940,674
465441984,956,621,784
102248448,512,314,636
11876472,612,62,313
11515950,471,163,150
53623472,892,226,266
16022925,295,85,639
4127921,779,7,757
31212000,375,288,289
56925180,153,530,702
10727970,649,57,290
194642382,781,438,569
206645184,928,417,534
1340430,14,195,491
65985024,336,304,646
276978534,861,673,478
26024310,507,58,885
15779006,38,797,521
126024000,600,356,590
159360,4,830,48
38088885,515,89,831
8803080,209,162,260
636341472,936,698,974
13794600,166,150,554
115126872,878,294,446
36738020,893,605,68
278855280,822,771,440
24490410,105,839,278
65431520,220,452,658
70210305,957,335,219
12967440,355,48,761
43899300,270,710,229
544528996,977,956,583
150066840,218,745,924
192033059,661,823,353
121088020,365,788,421
22453158,663,118,287
4534920,255,312,57
2391341,89,97,277
819936,876,468,2
25506900,270,402,235
36376020,205,477,372
190029840,791,624,385
22725360,501,432,105
191001888,756,348,726
12769680,80,231,691
330939150,769,950,453
17630648,127,296,469
18449760,35,544,969
44008146,401,134,819
49004220,354,545,254
51527544,276,578,323
74263008,604,141,872
18846450,175,193,558
183158712,982,942,198
285505116,849,754,446
126836424,286,508,873
392227010,761,518,995
331590504,712,993,469
21257754,58,651,563
650910810,898,759,955
265804764,393,706,958
100848330,198,989,515
63696192,996,112,571
30166110,177,874,195
21614208,688,34,924
45265066,451,134,749
32738090,170,287,671
289695744,744,507,768
29194776,281,351,296
12981676,34,454,841
27608364,882,333,94
42612480,274,486,320
221954250,631,469,750
20112120,694,138,210
204524100,849,365,660
30825036,198,961,162
591615300,933,850,746
133610000,862,310,500
124485285,591,409,515
120378881,199,721,839
37644768,568,126,526
13022100,530,35,702
89328744,459,612,318
233702856,681,948,362
59397520,796,820,91
16491020,574,338,85
475494,19,194,129
31398640,908,247,140
8157688,136,209,287
20364784,628,737,44
1144528,2,616,929
179064360,705,456,557
29401302,203,717,202
1138665,201,11,515
34232224,976,38,923
58040136,722,99,812
8226240,960,209,41
84244860,644,171,765
74308032,368,711,284
4566660,249,262,70
4351165,65,73,917
220238570,782,713,395
76293852,241,372,851
87234745,989,295,299
167494504,883,362,524
522378210,930,629,893
420228886,718,847,691
81970560,749,640,171
42561078,679,674,93
138182112,599,534,432
2198680,44,526,95
309964445,821,805,469
135696064,607,998,224
388066160,932,436,955
4608360,540,17,502
12096312,647,984,19
207818455,391,845,629
408930512,716,908,629
42228000,782,120,450
442070720,832,893,595
137037810,303,637,710
25196445,333,185,409
107599752,964,702,159
229912830,615,903,414
219812420,617,379,940
360007740,582,711,870
42864516,339,164,771
25072800,992,337,75
75564360,915,666,124
418407465,673,955,651
266208000,752,354,1000
1025640,140,9,814
152408880,260,684,857
54574528,97,596,944
257409152,686,704,533
414580192,872,892,533
22276662,687,62,523
10345940,205,814,62
237384350,670,371,955
25574016,327,104,752
4177188,591,114,62
12574803,141,883,101
31608840,580,93,586
153581825,733,725,289
12010194,178,153,441
3096720,792,5,782
248570046,513,486,997
254218860,665,574,666
52998400,560,676,140
11981430,191,255,246
507144408,731,844,822
146134062,758,691,279
115288380,279,710,582
573380808,812,858,823
146632500,475,735,420
195542562,633,601,514
46306270,86,953,565
47044368,993,658,72
73698938,106,967,719
527814,531,142,7
131877990,307,999,430
37874394,753,498,101
380939616,524,828,878
63984480,411,695,224
75660018,938,501,161
17265150,261,98,675
24895050,582,59,725
65925860,182,370,979
2293200,196,15,780
42561064,238,247,724
20894880,862,101,240
16299360,441,66,560
439739136,654,816,824
2759680,98,64,440
32965821,903,849,43
99051750,399,375,662
1593990,89,18,995
36283464,421,266,324
19723440,31,723,880
86012640,644,140,954
78601186,482,521,313
121939200,365,384,870
201992256,711,386,736
465120,95,544,9
46622808,519,456,197
183606,71,862,3
14691508,844,103,169
19291770,135,467,306
49125648,78,748,842
503913696,923,752,726
8302500,750,205,54
2963700,333,100,89
50413286,301,253,662
10382000,58,895,200
5561100,333,668,25
112619712,996,191,592
69033900,155,571,780
191061640,902,476,445
25025280,245,112,912
112964544,448,297,849
410090102,841,958,509
82759488,834,112,886
382096999,943,613,661
84015492,627,139,964
7078764,132,163,329
154480560,520,402,739
494832000,600,976,845
10348884,378,338,81
79381872,188,634,666
23217480,195,121,984
30187430,455,98,677
64007064,682,237,396
26455536,214,153,808
595335,39,355,43
233845920,770,333,912
97070715,285,343,993
33726795,67,907,555
21016512,792,428,62
188668032,813,896,259
265497045,781,519,655
521916,366,46,31
30913168,458,88,767
98774000,524,260,725
21516000,250,978,88
20496105,63,529,615
7102676,82,269,322
534423969,747,829,863
506790648,988,621,826
6992960,160,82,533
110419036,182,878,691
39124701,189,369,561
318022800,465,830,824
373257018,757,794,621
247776793,607,863,473
467273400,664,825,853
442803918,699,827,766
345060298,433,814,979
70096320,864,427,190
17778006,774,223,103
75935700,607,180,695
77144640,136,978,580
203628,284,1,717
71118208,238,368,812
104108901,169,799,771
465013248,768,709,854
9618140,103,812,115
43289244,916,59,801
60732714,834,101,721
1749636,131,477,28
4789512,238,26,774
24620596,301,484,169
561101328,939,844,708
5535180,9,805,764
84929688,687,808,153
25383618,709,39,918
1008768,888,71,16
41850832,974,524,82
232982904,907,834,308
49590468,652,243,313
14476473,341,267,159
65941708,238,493,562
12077640,540,106,211
251609868,778,477,678
250081326,957,291,898
44780970,577,390,199
938196,21,292,153
91324800,302,450,672
2909907,221,77,171
131775504,358,588,626
81360776,98,986,842
36016596,693,366,142
1624625,205,317,25
242149960,634,452,845
10533900,730,962,15
3593520,84,276,155
51623880,151,407,840
61219962,211,486,597
30784617,513,83,723
60088090,739,346,235
5634720,65,168,516
98010304,238,757,544
15463872,144,628,171
3048192,27,192,588
51622074,379,161,846
20129802,233,119,726
42451200,201,880,240
27781536,272,587,174
35694360,52,870,789
188765640,522,588,615
42959250,75,626,915
83405025,225,517,717
3151302,359,33,266
19976719,889,23,977
424722960,655,684,948
15928167,367,391,111
15522800,400,151,257
94609350,495,690,277
316130304,482,768,854
7987422,129,166,373
9941454,563,18,981
91494599,773,259,457
214771200,376,960,595
47768280,876,779,70
127230480,468,591,460
231851565,733,639,495
120974805,399,493,615
43383740,277,382,410
120383060,596,203,995
764928,332,64,36
245893725,525,747,627
84498919,179,863,547
42601328,308,458,302
194940,171,15,76
20723472,623,336,99
213389988,399,908,589
53434080,114,720,651
26652064,802,248,134
18715054,23,971,838
14720160,160,337,273
10600058,574,313,59
17741332,67,686,386
74311440,840,623,142
684382480,920,866,859
226366866,773,297,986
100244352,832,934,129
142445754,419,909,374
266250448,772,604,571
114774234,354,349,929
5584392,9,968,641
28488600,102,294,950
3311568,61,754,72
203316872,418,622,782
400288770,798,785,639
91724232,614,633,236
68538360,379,660,274
23400685,133,385,457
122753820,301,971,420
160004652,827,276,701
258678384,661,526,744
27240400,302,820,110
10225760,32,395,809
212015034,913,679,342
526082963,709,797,931
55273900,461,275,436
407007816,874,771,604
126661248,339,556,672
4274136,356,69,174
67270836,493,822,166
226333800,781,450,644
238932960,987,340,712
119206516,676,697,253
38554629,303,703,181
35996192,982,232,158
5609175,11,975,523
218362368,883,483,512
25245444,146,322,537
16744,728,1,23
84891030,119,790,903
15799212,286,341,162
8078400,510,330,48
63726912,171,576,647
27291888,239,624,183
401798016,696,633,912
394073316,794,702,707
200805792,293,968,708
32325336,788,53,774
31556079,579,111,491
24920448,381,292,224
28360464,228,514,242
28292400,542,261,200
13567824,783,38,456
130032000,516,252,1000
510312240,984,879,590
288900963,611,491,963
566246835,987,915,627
62452544,532,506,232
18304104,68,442,609
18272640,640,93,307
442825840,881,610,824
156449255,745,373,563
17573424,132,802,166
343689882,677,802,633
230619480,728,735,431
218288616,787,762,364
374948820,753,645,772
42365136,418,309,328
256640664,488,553,951
44849025,325,513,269
20042480,163,265,464
77291928,837,136,679
355420800,860,672,615
123603840,720,552,311
35520300,610,90,647
13657014,383,42,849
181090728,936,249,777
183361662,583,519,606
422165520,810,574,908
6146679,847,123,59
146150412,393,778,478
95029632,864,124,887
84084000,330,980,260
195267520,224,895,974
26501024,316,88,953
56144688,592,313,303
4131680,992,595,7
74604670,994,85,883
11618880,260,456,98
85773105,723,165,719
7518960,472,295,54
238259070,609,621,630
67321660,844,215,371
5272856,283,34,548
462741552,553,894,936
109012200,110,996,995
245634120,888,405,683
126011952,636,228,869
7024680,741,30,316
216103680,444,960,507
42607380,870,94,521
77290290,630,587,209
59172264,303,316,618
109504200,325,834,404
2032373,259,59,133
26295115,121,245,887
156686712,364,831,518
149127160,280,773,689
7901328,408,23,842
234840060,702,567,590
370296444,777,842,566
176307675,787,435,515
975868,34,254,113
105434,34,443,7
184246170,807,578,395
47100600,600,137,573
43902768,529,624,133
24646248,902,46,594
109417000,980,319,350
170317070,649,326,805
469727250,750,823,761
32713695,85,447,861
17744100,550,283,114
11520096,196,372,158
268467094,986,401,679
20055716,38,731,722
425979372,546,811,962
585473220,684,965,887
26953680,53,652,780
2143596,21,676,151
129348648,739,612,286
245108754,493,891,558
271804500,990,950,289
36993792,696,604,88
49929000,534,425,220
202511855,455,871,511
74244875,125,727,817
30985185,579,695,77
29851280,779,40,958
38438520,460,114,733
20261880,540,146,257
6930000,63,880,125
321706960,545,632,934
1720032,656,6,437
1523200,560,544,5
220986468,459,636,757
1236700,830,298,5
27297843,519,353,149
147072844,358,722,569
279788928,948,401,736
431807424,752,654,878
158515456,622,724,352
36379376,209,176,989
348473724,811,587,732
3390816,228,572,26
167128192,308,547,992
242185905,871,333,835
93038868,351,796,333
76596856,457,292,574
88001550,585,490,307
724552,188,47,82
67710552,637,516,206
231577500,802,825,350
1369600,40,428,80
2843856,174,36,454
46266880,212,992,220
143673750,225,825,774
137342400,800,806,213
15634788,793,124,159
63402874,394,899,179
142756140,809,692,255
529980,876,121,5
11010006,63,342,511
102995550,675,519,294
266981442,291,994,923
247690692,603,997,412
31569840,240,269,489
552385820,980,599,941
11379280,134,965,88
328969040,380,986,878
16669860,118,554,255
226861660,347,674,970
22327488,657,944,36
284326868,811,532,659
3602918,22,389,421
229536720,846,969,280
27445194,49,666,841
72397920,348,743,280
111394950,885,410,307
11305044,43,804,327
4030632,153,148,178
6711525,163,45,915
338655680,940,979,368
97024008,219,632,701
383962,982,17,23
214649760,780,328,839
79106484,302,879,298
263834610,878,345,871
6714880,256,430,61
1577220,542,97,30
207296640,438,986,480
431773965,753,889,645
10980684,158,429,162
59492178,526,213,531
187842600,530,716,495
353160,45,872,9
50749440,236,512,420
189795120,694,430,636
116173512,833,298,468
64546844,398,619,262
126019650,661,246,775
46569600,630,280,264
42385308,861,62,794
77580288,216,976,368
82599705,587,795,177
3165695,565,431,13
243153274,497,607,806
716356608,946,816,928
6602850,365,30,603
337480000,472,715,1000
123387995,361,985,347
231098400,288,975,823
303388800,544,825,676
280883988,642,462,947
219403140,401,660,829
30235194,141,297,722
4613004,594,11,706
66729960,274,270,902
45973576,632,389,187
204716160,864,718,330
42427962,177,579,414
48894440,917,310,172
66093750,375,375,470
716169839,973,869,847
24230115,273,291,305
8704800,930,144,65
300916,2,154,977
120993320,601,719,280
64775328,348,439,424
529059960,645,858,956
184235520,447,920,448
29430660,887,474,70
85285564,167,644,793
197059792,626,872,361
211816143,711,371,803
27120075,145,337,555
36675288,353,108,962
157037790,610,861,299
549693702,771,978,729
120436372,346,658,529
48838264,193,673,376
429734058,629,922,741
116158110,510,541,421
371479212,813,606,754
96482960,302,815,392
328738176,813,972,416
10126080,64,586,270
397568736,978,941,432
12645270,495,482,53
127619388,702,246,739
120919388,887,173,788
157131748,646,703,346
38462820,577,303,220
8790880,14,835,752
19073496,226,156,541
4215679,479,13,677
63332822,502,269,469
665746680,883,915,824
63635250,230,775,357
108246600,284,726,525
49027520,349,439,320
86510088,434,339,588
85076244,594,438,327
63057600,900,604,116
205500,411,10,50
60614988,203,334,894
812448,403,42,48
15949824,88,256,708
21139200,900,32,734
266041620,940,369,767
127969200,765,680,246
39460330,515,91,842
726408,472,27,57
82108512,226,432,841
169090000,740,457,500
103388880,205,553,912
17325,63,1,275
98391520,415,239,992
35304500,196,655,275
8477392,983,196,44
368138316,886,761,546
283931130,695,497,822
121566872,586,217,956
100345278,319,509,618
834560,20,652,64
158898720,851,389,480
12510531,891,19,739
63066900,206,390,785
143408844,423,647,524
333757515,757,665,663
53846100,814,315,210
8725717,379,143,161
198100732,821,674,358
222992000,905,440,560
1917195,651,19,155
585794475,805,927,785
13925120,430,184,176
6945120,168,78,530
169236192,492,584,589
234256260,763,731,420
52563888,653,516,156
50030568,203,252,978
253733760,651,672,580
3170112,64,209,237
772398,166,99,47
20995362,246,261,327
27728806,98,487,581
235527952,337,968,722
3128832,194,504,32
378421070,989,922,415
253856340,342,746,995
43115436,156,861,321
318240,24,17,780
256632981,779,447,737
82729800,760,531,205
11848640,610,32,607
270245250,495,895,610
47722536,408,127,921
7959100,95,284,295
253309120,920,508,542
2893040,40,86,841
10005464,488,101,203
233660856,824,661,429
22005250,890,215,115
513014250,798,925,695
39973500,564,315,225
192734480,596,437,740
234237696,932,374,672
58844940,770,141,542
11398440,376,141,215
10725291,57,303,621
10280480,548,938,20
54478242,182,711,421
9446220,238,735,54
27185760,72,420,899
25985160,114,348,655
222902057,389,751,763
31334800,361,217,400
19390875,75,445,581
174386289,847,367,561
113618460,426,298,895
292038824,484,917,658
31909392,226,212,666
235101216,984,742,322
12287022,102,517,233
346788950,646,985,545
170189112,872,971,201
21987152,164,242,554
140868,86,26,63
8142336,372,36,608
49106659,323,587,259
23221760,188,965,128
65859120,205,388,828
270028312,563,718,668
302594076,717,617,684
9883440,840,37,318
72209130,710,167,609
10518390,45,478,489
81743299,451,859,211
4009390,635,77,82
20719680,678,32,955
75175452,711,132,801
139755,165,121,7
23522460,159,569,260
47978080,569,310,272
5368950,615,9,970
135548896,959,224,631
419151100,860,535,911
297617354,557,866,617
198600120,459,580,746
13320000,185,375,192
107579520,640,983,171
38346543,641,207,289
16337475,575,693,41
2059720,5,884,466
427314078,834,699,733
107394342,517,778,267
480098364,573,899,932
514922135,665,889,871
412424298,594,741,937
201951340,463,772,565
6606336,24,506,544
334808992,749,916,488
39605241,871,659,69
61966520,295,682,308
9412830,223,63,670
63580832,736,287,301
13061930,190,161,427
566488395,803,915,771
154275840,384,480,837
10119648,888,28,407
41333640,194,670,318
151473600,670,785,288
16772092,191,116,757
15785000,88,875,205
4611336,709,542,12
3562600,758,100,47
157190910,565,521,534
32500020,105,694,446
83617114,337,958,259
7324821,499,233,63
361956,1,834,434
23384350,697,610,55
565544804,836,979,691
244528000,580,425,992
339935400,483,828,850
354796356,804,727,607
125049296,388,409,788
13057200,975,248,54
70685670,402,253,695
190257200,595,571,560
86487630,167,915,566
67914880,110,877,704
117475650,270,503,865
4808160,27,318,560
128567439,737,819,213
13773375,165,175,477
213698472,338,893,708
339258520,554,670,914
2295216,23,528,189
13066748,334,631,62
1134016,8,377,376
338912,68,56,89
158905500,281,725,780
69310152,732,367,258
7271388,106,309,222
11745916,161,793,92
554641152,768,761,949
133301168,754,392,451
1733715,59,653,45
185262,401,42,11
37231700,362,425,242
17536452,282,527,118
19012140,191,315,316
74604640,110,874,776
69601378,454,181,847
85268808,474,263,684
327613920,668,670,732
119361216,624,388,493
9178290,438,127,165
1155504,114,14,724
17059520,599,712,40
4740120,594,15,532
183920625,675,519,525
19547112,516,94,403
208901511,729,329,871
225784140,578,898,435
274137246,881,586,531
19917408,749,96,277
553704489,807,723,949
491984500,875,602,934
124514640,690,824,219
5690960,464,223,55
57673980,234,490,503
65161584,734,274,324
187435968,933,688,292
155774720,655,929,256
32665500,126,305,850
66618184,482,634,218
159050128,412,412,937
86677680,430,908,222
523355866,929,638,883
19359744,128,552,274
227541860,868,481,545
219199944,636,389,886
324064,8,988,41
19647000,295,333,200
2784000,116,375,64
126760320,720,472,373
183866760,268,726,945
104006160,269,432,895
55070934,141,401,974
557190504,873,646,988
79299000,979,270,300
2921600,44,415,160
208615680,520,672,597
48563165,523,245,379
22063680,480,141,326
52738560,720,336,218
36928302,163,619,366
46548876,354,946,139
20581672,958,262,82
30424050,246,485,255
353517840,624,895,633
49093960,430,782,146
15794781,67,537,439
399622200,766,925,564
7960050,665,266,45
7197336,383,29,648
39503928,379,606,172
3933552,966,509,8
146465104,761,368,523
11513142,354,111,293
5501489,581,557,17
123626426,167,874,847
7495310,383,95,206
61798644,738,562,149
141103984,602,706,332
470896944,853,868,636
333285456,707,488,966
91267275,565,165,979
73436700,367,345,580
30829500,775,117,340
60067056,679,291,304
64345888,344,202,926
124144416,596,263,792
199051776,726,336,816
73751730,95,807,962
6007176,87,72,959
75406248,549,582,236
283429912,488,673,863
3729390,21,826,215
2220375,5,775,573
445778640,540,828,997
328340130,939,730,479
59421200,745,997,80
58250148,607,727,132
160857400,605,680,391
748738800,863,900,964
76407891,413,743,249
178299968,616,776,373
350356240,604,598,970
133781472,242,698,792
349490680,932,974,385
216408192,624,563,616
123353666,214,827,697
249880059,729,799,429
91856940,771,259,460
29071224,162,221,812
237440,56,530,8
28133680,446,95,664
28530810,385,537,138
304517985,573,785,677
65756262,346,429,443
93664648,601,242,644
13071828,282,49,946
111086976,208,867,616
329011200,640,952,540
139166000,149,934,1000
58579362,337,333,522
238239880,830,983,292
152435556,273,948,589
91958940,981,172,545
53974620,393,327,420
148328820,711,285,732
343521360,735,642,728
28293300,70,810,499
11536192,304,179,212
503552570,670,943,797
36508638,662,593,93
364896,2,252,724
268949040,844,339,940
35654976,259,288,478
8304114,681,14,871
62461650,83,865,870
196057776,948,298,694
207445224,419,842,588
13727880,135,114,892
5107200,700,304,24
6505310,995,14,467
158909565,563,465,607
3139560,969,24,135
315524440,536,605,973
108856664,491,749,296
50657224,107,664,713
65542272,368,328,543
78819522,502,597,263
165531072,434,822,464
21080000,170,1000,124
181564680,660,526,523
158095080,996,715,222
41291136,982,288,146
9701356,458,34,623
266079204,942,789,358
279861102,909,529,582
19331424,168,223,516
618986880,678,960,951
21260050,805,38,695
111167056,631,286,616
93997584,492,732,261
2343705,119,101,195
107484720,934,274,420
724430,262,395,7
399975840,720,886,627
77411880,260,714,417
306816,544,12,47
15149631,19,883,903
113838975,775,171,859
153572650,706,791,275
14819364,271,186,294
1513568,116,466,28
382181616,828,514,898
43845480,126,635,548
188106268,614,553,554
12323976,327,56,673
282517305,489,971,595
40291110,615,537,122
324914176,872,656,568
49939092,873,681,84
53544546,627,993,86
16494852,638,417,62
214382886,454,591,799
322130325,865,407,915
7175322,63,682,167
12429690,182,435,157
87020730,345,346,729
105597140,509,220,943
46861056,344,352,387
164825232,944,363,481
10036950,15,847,790
322224924,996,791,409
23064426,387,258,231
